Date,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Variation
2014-12-31,300.0,398.0,300.0,340.0,21.04676396,7806.757832560001,2.4131711823627975,13.333333333333334
2015-01-31,360.0,360.0,109.87,218.45,30676.7365952299,7494511.661378197,60.04204920006358,-39.31944444444444
2015-02-28,218.67,267.86,210.0,255.59,268872.30253936286,63724526.0670845,207.5378162085144,16.883888965107246
2015-03-31,255.73,299.48,234.51,245.5,336207.0694590288,90688708.88153236,253.0342495830435,-4.000312829937821
2015-04-30,245.5,263.0,215.56,236.81,233276.96349434345,54797393.834909946,213.3715963999874,-3.5397148676171066
2015-05-31,236.78,247.6,228.38,230.21,208239.48872257906,49492134.13437343,204.94765176741126,-2.7747275952360813
2015-06-30,230.18,269.39,221.58,263.82,192437.80381204846,46038027.104433425,209.46748239341719,14.614649404813617
2015-07-31,263.83,316.52,252.77,285.19,215810.72592778015,60736602.187341765,255.121654336948,8.096122503127019
2015-08-31,285.2,286.47,198.02,230.75,224130.78325749058,55016733.55021228,230.29119059968076,-19.091865357643755
2015-09-30,230.76,247.82,224.45,237.14,191596.077967459,44872688.09400629,206.49586757849337,2.764777257756975
2015-10-31,237.1,336.97,236.9,314.85,243370.8491594395,66796220.24120028,231.59674079998484,32.79207085617884
2015-11-30,314.84,499.99,293.32,376.86,374752.43094978906,137385698.60502574,332.67520306370477,19.698894676661176
2015-12-31,376.88,469.34,347.55,430.35,450640.800103714,194661177.43253133,393.1621893473923,14.187539800467
2016-01-31,430.35,464.4,350.92,367.95,253221.69658980187,102889334.33374116,375.04409506338925,-14.499825723248524
2016-02-29,367.89,448.7,361.1,436.44,206303.8322265115,82725350.31482609,374.7469846360606,18.633287123868552
2016-03-31,436.41,437.78,381.09,416.03,212051.05726229883,87779927.65293041,385.69874979266524,-4.66992048761487
2016-04-30,416.03,472.38,414.12,454.02,171655.86648985924,75209266.4134764,405.7376331019179,9.131553013003872
2016-05-31,454.02,549.99,435.0,531.34,187584.15994132066,87453350.00853948,442.9103904691007,17.03008678031806
2016-06-30,531.25,785.15,483.78,673.49,302934.7862351311,197866198.16644308,629.4641807615824,26.774588235294118
2016-07-31,673.5,705.25,608.0,626.97,187794.78382103355,124153429.35072437,616.2844535940882,-6.9086859688195945
2016-08-31,626.97,629.34,483.0,572.89,166710.78164480993,96439389.9208423,562.8638964427587,-8.625612070752993
2016-09-30,572.89,631.3,568.12,608.99,120466.11609689996,72841761.67003116,587.329136332836,6.301384209883228
2016-10-31,608.99,725.64,606.93,696.9,129404.77171326078,83387083.51926143,607.9754117380527,14.435376607169243
2016-11-30,697.07,753.81,671.23,742.69,135693.67128970948,98170478.20151918,706.9986183116674,6.544536416715682
2016-12-31,742.51,988.88,741.59,973.37,172266.28134464045,144457173.27768302,813.5852608791001,31.091837146974456
2017-01-31,973.37,1175.0,734.64,970.01,226930.49252492836,208758720.65818036,815.5051447742738,-0.3451924756259196
2017-02-28,970.01,1221.93,925.0,1195.08,170586.14859566116,181845559.44170457,975.1168873397862,23.202853578829078
2017-03-31,1197.95,1360.0,890.05,1088.99,349702.07203699765,388869057.9870981,1110.4058352048505,-9.09553821111065
2017-04-30,1088.99,1394.51,0.06,1384.55,226206.69057194956,276852594.8735006,1204.2757884832695,27.140745094077996
2017-05-31,1384.55,2806.0,1370.98,2303.29,558512.3021700699,1102476887.4397795,1899.1920172775763,66.35657794951429
2017-06-30,2303.61,2999.99,2050.0,2455.19,544608.3355698175,1416570217.8010228,2608.7153166710773,6.58010687572983
2017-07-31,2455.19,2957.0,1758.2,2856.88,431166.5160222925,1063810968.9869833,2488.7507602824157,16.360851909628177
2017-08-31,2856.89,4769.03,2650.0,4743.94,428951.441180633,1669014717.462731,3836.529340276097,66.05259565471545
2017-09-30,4743.94,4980.0,2975.01,4339.0,439458.4688448891,1774188822.4390576,4085.7835826576397,-8.53594269742028
2017-10-31,4339.01,6472.13,4150.01,6445.01,345262.8475329092,1873190062.4805176,5279.248660941832,48.536417293345714
2017-11-30,6445.01,11485.0,5511.11,9903.0,746025.8881197139,5860463305.543186,7779.90278029598,53.65375693753772
2017-12-31,9903.01,19891.99,9517.0,13863.13,1028699.4609702856,15534766001.892925,15014.395092590737,39.98905383312749
2018-01-31,13863.14,17178.0,9005.0,10099.99,638542.0251190116,8004056450.395295,12870.622690775122,-27.14500466705234
2018-02-28,10099.99,11775.0,5873.0,10307.27,796902.9860457595,7133650987.898426,9336.83172020766,2.0522792596824417
2018-03-31,10307.26,11645.74,6600.0,6928.5,592641.6291285789,5235336071.841056,9020.191990394207,-32.780389744704216
2018-04-30,6928.5,9763.49,6450.0,9243.83,397168.31164649583,3182378069.0148807,7981.025575734462,33.417478530706504
2018-05-31,9243.83,9948.12,7058.0,7485.0,276356.78664019116,2349912050.0446353,8398.148198262095,-19.027069948279014
2018-06-30,7485.0,7777.0,5777.0,6383.19,242948.18278288204,1612461699.7872589,6742.576088555643,-14.72024048096193
2018-07-31,6383.19,8488.0,6075.01,7727.27,256879.4636317089,1873676666.6360447,7096.219827127137,21.05655636131779
2018-08-31,7727.28,7750.0,5900.0,7015.01,299169.29124041,1988003596.3004498,6554.62688677853,-9.217603089314734
2018-09-30,7015.01,7402.5,6106.37,6605.0,224772.41569440885,1479401235.6006973,6589.6414792148,-5.8447528941512585
2018-10-31,6605.0,6810.0,6033.34,6304.18,177210.78872132802,1135290565.139324,6406.831535839793,-4.554428463285386
2018-11-30,6304.18,6540.0,3457.81,3976.0,477815.82966283977,2226121982.960748,5388.999862783212,-36.930734845769
2018-12-31,3976.01,4277.0,3128.89,3691.86,470381.6393039382,1732279252.7991927,3661.5928001080124,-7.146611804296269
2019-01-31,3691.87,4088.0,3651.02,4005.99,62190.180189139886,239549068.9424447,3836.4859486031237,8.50842526957883
